listing_id,neighbourhood,room_type,latitude,longitude,price,number_of_reviews
1140010054614005015,Windmill Hill,Entire home/apt,51.4402819,-2.5785965,NA,8
45696130,Southville,Entire home/apt,51.44416,-2.59994,104,51
1147046147472241668,Central,Entire home/apt,51.4543991,-2.6024182,NA,1
1152095475741034361,Brislington East,Entire home/apt,51.4415384,-2.5361472,112,25
1094765299636250080,Eastville,Private room,51.4670978,-2.5423527,29,47
1284017986826266056,Southville,Entire home/apt,51.4460368,-2.6094165,68,7
1175991235154607669,Hotwells & Harbourside,Entire home/apt,51.45345,-2.60328,NA,3
1201299820529126784,Lockleaze,Entire home/apt,51.4847654,-2.568468,NA,1
1207705205099172438,Central,Private room,51.448817848823246,-2.596395755054548,NA,3
1116068223443588452,Cotham,Entire home/apt,51.464182795335155,-2.592986022216344,85,4
48025376,Clifton Down,Entire home/apt,51.462547,-2.614085,70,20
1207720355754987595,Central,Private room,51.44905,-2.59774,NA,0
1243457863500872196,Windmill Hill,Private room,51.44099,-2.5799,46,12
52431280,Central,Entire home/apt,51.45986,-2.60241,106,31
762145754955497430,Brislington West,Entire home/apt,51.44050928107306,-2.554399964748426,88,110
19043909,Westbury-on-Trym & Henleaze,Entire home/apt,51.49402618408203,-2.614129066467285,152,3
1149889688210721378,Southville,Entire home/apt,51.44068,-2.61231,NA,20
1278183136656736960,Clifton,Entire home/apt,51.456816774615916,-2.6183334809509184,NA,22
1122954786922756155,Lawrence Hill,Entire home/apt,51.44847,-2.57541,87,56
22625158,Windmill Hill,Entire home/apt,51.44035,-2.57673,NA,6
26787293,Filwood,Private room,51.4214,-2.58083,23,50
927991699007647192,Lawrence Hill,Entire home/apt,51.462392,-2.5761853,176,1
7909436,Knowle,Entire home/apt,51.42945,-2.56371,64,494
979376452519215333,Central,Entire home/apt,51.45107,-2.59368,255,50
1206661381645225437,St George Central,Entire home/apt,51.46102,-2.52973,76,18
54365797,Bedminster,Private room,51.43936,-2.60179,51,73
46309037,Southville,Entire home/apt,51.44413,-2.59634,51,40
29432972,Lockleaze,Private room,51.49494934082031,-2.5665030479431152,37,23
53897077,Easton,Private room,51.46712,-2.55438,46,0
1271131098593391578,Hotwells & Harbourside,Entire home/apt,51.449952922446144,-2.603866383433342,108,0
24018580,Central,Entire home/apt,51.45457,-2.59276,98,218
29767400,Ashley,Entire home/apt,51.46346,-2.58649,71,134
988170376101055353,Hotwells & Harbourside,Entire home/apt,51.44866,-2.61047,156,43
52234675,Ashley,Entire home/apt,51.46133,-2.58417,158,185
1281280578811165827,Lockleaze,Entire home/apt,51.47545364767077,-2.5640087574720383,NA,11
41424070,Stockwood,Private room,51.42924118041992,-2.5576460361480713,36,14
897179531687645457,Ashley,Entire home/apt,51.46117,-2.59004,87,53
30401303,Bishopston & Ashley Down,Private room,51.48332,-2.58125,44,22
1093683393428603765,Easton,Private room,51.46603,-2.55593,42,0
989199106275308203,Windmill Hill,Private room,51.4429768,-2.5774594,110,2
39186090,Windmill Hill,Entire home/apt,51.44090564232356,-2.5782492756843567,59,500
36254645,St George Central,Entire home/apt,51.46301,-2.53375,81,87
50396547,Ashley,Private room,51.46986,-2.56989,104,25
7159559,Lawrence Hill,Entire home/apt,51.45663,-2.58261,55,711
1008649299173634777,Clifton Down,Entire home/apt,51.47047,-2.61025,80,94
42252198,Southville,Private room,51.44195687597876,-2.6040903050946063,55,0
53486010,Lockleaze,Entire home/apt,51.47414,-2.572811,153,30
11676391,Easton,Private room,51.4623140583691,-2.5624069067451853,33,47
1258077239773163886,Hillfields,Entire home/apt,51.47312350869372,-2.5224058067161965,149,4
1267963563018242891,Ashley,Entire home/apt,51.461414,-2.588201,70,11
17875494,Central,Entire home/apt,51.4557,-2.59939,58,79
758894,Clifton,Entire home/apt,51.45524,-2.62168,132,506
923019352378233920,Clifton Down,Entire home/apt,51.46947,-2.613,196,29
38474039,Bedminster,Entire home/apt,51.4359,-2.61127,NA,53
1376870806504647358,Ashley,Entire home/apt,51.461223656666206,-2.5847094406217908,523,0
1336921800606860654,Cotham,Entire home/apt,51.47239953923938,-2.61038824228559,237,0
1082349792341342303,Ashley,Private room,51.46677,-2.5856,63,54
11311871,Clifton,Entire home/apt,51.45319,-2.61554,81,210
786969541879406066,St George West,Entire home/apt,51.46037,-2.54778,57,14
1203461430270184483,Windmill Hill,Entire home/apt,51.437,-2.5904,150,0
50238409,Ashley,Entire home/apt,51.46151,-2.58529,125,126
608592241798364599,Brislington East,Entire home/apt,51.43622,-2.54765,80,29
1015865603096423679,Central,Entire home/apt,51.45776,-2.60851,174,4
1245579250067229132,Hotwells & Harbourside,Entire home/apt,51.452716571012104,-2.6095823084180263,59,12
1062356476027843260,Windmill Hill,Entire home/apt,51.44357680520448,-2.5826025009155273,156,4
27213583,Lawrence Hill,Private room,51.45694,-2.56549,NA,18
12828793,Windmill Hill,Entire home/apt,51.44042,-2.57154,103,402
968876951023806189,Clifton Down,Entire home/apt,51.45789,-2.61068,NA,2
29621715,Avonmouth & Lawrence Weston,Entire home/apt,51.50308,-2.65362,NA,298
1254164474387265227,Easton,Entire home/apt,51.4644235090479,-2.5604897313062027,56,24
1275383839693505128,St George West,Entire home/apt,51.46168043295535,-2.5426531057441806,70,1
16036831,Clifton Down,Entire home/apt,51.46903,-2.61884,81,260
866552247695026458,Central,Entire home/apt,51.44861,-2.5942,164,84
37479156,Lawrence Hill,Entire home/apt,51.457401,-2.579705,100,91
36327407,Clifton,Entire home/apt,51.46569,-2.61975,140,99
23320983,Eastville,Private room,51.47145,-2.55159,46,54
7824532,Avonmouth & Lawrence Weston,Private room,51.485443,-2.672908,33,59
1294850613672418669,Cotham,Entire home/apt,51.4640763,-2.590617,68,3
22935217,Brislington West,Private room,51.44414,-2.56624,65,265
1069468942545549393,Ashley,Entire home/apt,51.4711145,-2.579743,153,7
45522386,Easton,Entire home/apt,51.466076,-2.563031,60,22
1152094589468718711,Southville,Entire home/apt,51.443327,-2.6074025,NA,1
604125090481764269,Brislington West,Entire home/apt,51.44302,-2.55492,109,22
1163178599509919489,Avonmouth & Lawrence Weston,Entire home/apt,51.49753,-2.64766,121,2
45283902,Cotham,Entire home/apt,51.47004,-2.6073,95,101
967418047469516732,Clifton Down,Entire home/apt,51.46621,-2.61111,128,14
1044069838683806443,Clifton Down,Entire home/apt,51.45940001724217,-2.611189485319514,92,74
1376577890964755504,Central,Private room,51.450903060394104,-2.590447042255511,40,0
930212420101313369,Avonmouth & Lawrence Weston,Entire home/apt,51.48203,-2.6823,61,2
1261587959149343486,Avonmouth & Lawrence Weston,Private room,51.497547,-2.6589441,36,2
749924612484282497,Brislington West,Private room,51.44408,-2.55257,35,0
50694465,Southville,Entire home/apt,51.44545,-2.59497,86,66
40856138,Ashley,Private room,51.47034,-2.57433,22,82
708493825257512257,Southmead,Entire home/apt,51.5027,-2.60358,75,14
33764113,Clifton Down,Private room,51.46019,-2.61104,113,6
949857843614553512,Horfield,Entire home/apt,51.488222,-2.5851802,61,7
1340548252167826428,Cotham,Entire home/apt,51.465143,-2.5904907,121,1
41946820,Easton,Private room,51.46461,-2.55971,34,75
1003462773171104878,Stoke Bishop,Private room,51.48677460816895,-2.651189938187599,36,21
609449852792571162,Bishopston & Ashley Down,Private room,51.483105,-2.59492,50,30
25993302,Central,Entire home/apt,51.46036,-2.5935,177,6
1200004268069616497,Ashley,Entire home/apt,51.47329,-2.57591,76,3
1303613319302774413,Lockleaze,Private room,51.49465482889965,-2.5670878752228994,37,0
1243552844197110161,Southville,Entire home/apt,51.44352199999999,-2.6031727,138,15
50281651,Ashley,Private room,51.46031,-2.58491,90,33
20437428,Hartcliffe & Withywood,Private room,51.40627,-2.61312,26,250
1049248651104655054,Hotwells & Harbourside,Entire home/apt,51.449651,-2.6152811,65,18
23035878,Frome Vale,Private room,51.48655,-2.54721,53,496
27564448,Bedminster,Private room,51.43356,-2.62866,36,102
1345413629369041696,Clifton,Entire home/apt,51.46234054049773,-2.617390352700776,116,3
40694409,Eastville,Entire home/apt,51.47624,-2.54196,NA,14
1210091378307671118,Windmill Hill,Private room,51.43916853612992,-2.589954100549221,74,6
7738447,Hotwells & Harbourside,Entire home/apt,51.44856,-2.61658,NA,0
